manuscript_figure,latex_label,figure_file,producing_script,pipeline_stage,input_data,needs_agama,notes
Fig. 1,fig:structure,figures/fig1_structure.pdf,code/08_rebuild_paper_figures/rebuild_paper_figures.py (fig1()),08,(none; calls king_model directly),no,"MERGED figure: (a) stellar+gas density profiles W0=3/6/9 at SFE=0.17, (b) local SFE profiles W0=0.5-20. Both in G=M=r_h=1 units, sharing the r/r_h axis; colorbar spans both panels. Replaces the former separate Figs 1 and 2. Recompute in seconds."
Fig. 2,fig:sfetsf,figures/fig3_sfe_vs_tsf_rh_units.pdf,code/08_rebuild_paper_figures/rebuild_paper_figures.py (fig3()),08,(none; calls king_model directly),no,"Global SFE vs t_sf in G=M=r_h=1 units at eps_ff=0.01; curves within a factor ~2.7; inset = t_sf(SFE=0.17) vs W0 (~23-63). Recompute in seconds."
Fig. 3,fig:crossprofile,figures/fig8b_esfe_cross_profile.pdf,code/03_multi_profile_analysis/multi_profile_analysis.py (part1b_cross_profile),03,truncation_summary.csv,no,"2-panel: (a) eSFE vs global SFE for all families, xlim (0,0.5); (b) boost factor eSFE/SFE, whose SFE->0 intercept is 1/eta (1.59/2.25/3.66 for W0=3/6/9). Panel (b) restores the content of the deleted standalone boost figure. Recompute in ~seconds."
Fig. 4,fig:mechanism,figures/fig6_mechanism.pdf,code/02_king_sfe_mechanism/king_sfe_mechanism.py,02,mechanism_summary.csv,no,"3-panel mechanism of the non-monotonic SFE threshold; panel (c) is the King virial threshold curve. Recompute in ~seconds."
Fig. 5,fig:cumesfe,figures/fig8_cumulative_esfe.pdf,code/03_multi_profile_analysis/multi_profile_analysis.py (part2_universality),03,truncation_summary.csv,no,"Cumulative eSFE(<r), each published family at its measured threshold + King at eSFE_surv=1/3, global SFE on each label. Illustrates Sect. 3.5. Recompute in ~seconds."
Fig. 6,fig:fbound,figures/fig10_fbound_curves.pdf,"adams_df_boundfraction.py main() writes fig10_fbound_curves.csv; plot_df_figures.py redraws",04,fig10_fbound_curves.csv,no,"Frozen-DF F_b(SFE), King W0=0.5-20 + published dashed. COSMETIC replot: plot_df_figures.py from the CSV, no DF sweep. Full recompute is hours."
Fig. 7,fig:validation,figures/fig12_validation.pdf,code/08_rebuild_paper_figures/rebuild_paper_figures.py (fig12()),08,fig12_continuum.csv + analytic_prediction_table.csv + published_continuum.csv + mc_vs_nbody_published.csv,no,"MERGED figure: (a) King W0=3/6/9/12 continuum vs N=1e5 MC on one axes; (b) Plummer and Dehnen g=0 continuum + frozen-DF MC + published N-body. Replaces the former separate Figs 8 and 9, and converts two double-column floats into one single-column float. All four inputs are cached CSVs -- redraws in seconds, no Agama and no DF sweep."
Fig. 8,fig:allthresholds,figures/fig11b_thresholds_with_mc.pdf,"adams_df_boundfraction.py main() writes fig11_plotdata.csv; plot_df_figures.py redraws",04,fig11_plotdata.csv + mc_thresholds_n1e5.csv + mc_thresholds_published.csv,partial,"All criteria, King + published families, y-axis 'SFE threshold'. COSMETIC replot: plot_df_figures.py from fig11_plotdata.csv, no DF sweep."
Fig. 9,fig:truncation,figures/fig9_truncation.pdf,code/03_multi_profile_analysis/multi_profile_analysis.py (part3_truncation),03,truncation_summary.csv,no,"Virial SFE threshold with/without the free-fall-time truncation at eps_ff=0.01 (curves nearly coincide); r_SF/r_t (right axis), c=log10(r_t/r_c) top axis, W0=3,6,9 grid. Legend center right. Recompute in ~seconds."
Fig. A.1,fig:epssens,figures/figA1_eps_sensitivity.pdf,code/08_rebuild_paper_figures/rebuild_paper_figures.py (figA1()),08,mechanism_summary.csv,no,"Truncated threshold curve for eps_ff = 0.01/0.05/0.10; published-family removal floors given as a table in App. A text. Recompute in ~1 min."
